batch size,lm,ft_dataset,eval_dataset,value
32gpu,true,ls100h,dev-clean,0.0411749568030587
32gpu,true,ls100h,dev-other,0.120632802072702
32gpu,true,ls100h,test-clean,0.0444879793061473
32gpu,true,ls100h,test-other,0.120474562023575
4gpu,true,ls100h,dev-clean,0.055236939818389
4gpu,true,ls100h,dev-other,0.166915286174138
4gpu,true,ls100h,test-clean,0.059342665855143
4gpu,true,ls100h,test-other,0.168656744932465
8gpu,true,ls100h,dev-clean,0.0482886658578729
8gpu,true,ls100h,dev-other,0.140044751511345
8gpu,true,ls100h,test-clean,0.0512020693852708
8gpu,true,ls100h,test-other,0.137191219456279
scratch,true,ls100h,dev-clean,0.514374471526782
scratch,true,ls100h,dev-other,0.705798068618984
scratch,true,ls100h,test-clean,0.503632836275106
scratch,true,ls100h,test-other,0.73444395621191
0gpu,false,ls10m,dev-clean,0.8587
0gpu,false,ls10m,dev-other,0.91535
0gpu,false,ls10m,test-clean,0.85976
0gpu,false,ls10m,test-other,0.91804
16gpu,false,ls10m,dev-clean,0.446546082864601
16gpu,false,ls10m,dev-other,0.523906728428986
16gpu,false,ls10m,test-clean,0.454446895922094
16gpu,false,ls10m,test-other,0.520470741073305
1gpu,false,ls10m,dev-clean,0.715010477555972
1gpu,false,ls10m,dev-other,0.814281227918662
1gpu,false,ls10m,test-clean,0.720709068776628
1gpu,false,ls10m,test-other,0.820166975526814
2gpu,false,ls10m,dev-clean,0.60913201720525
2gpu,false,ls10m,dev-other,0.705680301483866
2gpu,false,ls10m,test-clean,0.612636944613512
2gpu,false,ls10m,test-other,0.710563017022333
32gpu,false,ls10m,dev-clean,0.410738575787655
32gpu,false,ls10m,dev-other,0.500431812828767
32gpu,false,ls10m,test-clean,0.41642574558734
32gpu,false,ls10m,test-other,0.500601799667577
4gpu,false,ls10m,dev-clean,0.499669129811404
4gpu,false,ls10m,dev-other,0.589287116275418
4gpu,false,ls10m,test-clean,0.503861077297626
4gpu,false,ls10m,test-other,0.594501652560992
8gpu,false,ls10m,dev-clean,0.465056431748833
8gpu,false,ls10m,dev-other,0.54818638611918
8gpu,false,ls10m,test-clean,0.470385727328058
